,DateTime,Close
0,2025-08-17 21:15:00,1.17141
1,2025-08-17 22:00:00,1.17136
2,2025-08-17 23:00:00,1.17064
3,2025-08-18 00:00:00,1.170165
4,2025-08-18 01:00:00,1.170325
5,2025-08-18 02:00:00,1.17014
6,2025-08-18 03:00:00,1.170375
7,2025-08-18 04:00:00,1.170845
8,2025-08-18 05:00:00,1.1706
9,2025-08-18 06:00:00,1.16966
10,2025-08-18 07:00:00,1.16814
11,2025-08-18 08:00:00,1.16819
12,2025-08-18 09:00:00,1.168025
13,2025-08-18 10:00:00,1.16809
14,2025-08-18 11:00:00,1.1675
15,2025-08-18 12:00:00,1.167655
16,2025-08-18 13:00:00,1.16779
17,2025-08-18 14:00:00,1.166415
18,2025-08-18 15:00:00,1.166725
19,2025-08-18 16:00:00,1.165795
20,2025-08-18 17:00:00,1.166285
21,2025-08-18 18:00:00,1.166015
22,2025-08-18 19:00:00,1.166735
23,2025-08-18 20:00:00,1.16608
24,2025-08-18 21:15:00,1.16619
25,2025-08-18 22:00:00,1.166975
26,2025-08-18 23:00:00,1.166795
27,2025-08-19 00:00:00,1.16586
28,2025-08-19 01:00:00,1.164935
29,2025-08-19 02:00:00,1.165285
30,2025-08-19 03:00:00,1.16551
31,2025-08-19 04:00:00,1.16608
32,2025-08-19 05:00:00,1.16554
33,2025-08-19 06:00:00,1.167445
34,2025-08-19 07:00:00,1.16837
35,2025-08-19 08:00:00,1.167505
36,2025-08-19 09:00:00,1.167455
